id,mode,start_timestamp,end_timestamp,miles,start_date,start_time,end_date,end_time
1665,/dbw_joy/ackermann_cmd,2017-04-27 18:54:00,2017-04-27 18:54:00,0.0,2017-04-27,18:54:00,2017-04-27,18:54:00
1666,/dbw_joy/ackermann_cmd,2017-04-27 18:54:00,2017-04-27 18:59:00,0.154852,2017-04-27,18:54:00,2017-04-27,18:59:00
1667,None,2017-04-27 18:59:00,2017-04-27 22:50:00,0.0,2017-04-27,18:59:00,2017-04-27,22:50:00
1668,/trajectory_follow/ackermann_cmd,2017-04-27 22:50:00,2017-04-27 23:09:00,1.26179,2017-04-27,22:50:00,2017-04-27,23:09:00
1669,/dbw_joy/ackermann_cmd,2017-04-27 23:09:00,2017-04-27 23:09:00,0.0,2017-04-27,23:09:00,2017-04-27,23:09:00
1670,/dbw_joy/ackermann_cmd,2017-04-27 23:09:00,2017-04-27 23:09:00,0.0,2017-04-27,23:09:00,2017-04-27,23:09:00
1671,/trajectory_follow/ackermann_cmd,2017-04-27 23:09:00,2017-04-27 23:24:00,0.496275,2017-04-27,23:09:00,2017-04-27,23:24:00
1672,/dbw_joy/ackermann_cmd,2017-04-27 23:24:00,2017-04-27 23:24:00,0.0120055,2017-04-27,23:24:00,2017-04-27,23:24:00
1673,/trajectory_follow/ackermann_cmd,2017-04-27 23:24:00,2017-04-27 23:26:00,0.183153,2017-04-27,23:24:00,2017-04-27,23:26:00
1674,/dbw_joy/ackermann_cmd,2017-04-27 23:26:00,2017-04-27 23:27:00,0.0158636,2017-04-27,23:26:00,2017-04-27,23:27:00
1675,/trajectory_follow/ackermann_cmd,2017-04-27 23:27:00,2017-04-27 23:27:00,0.0635956,2017-04-27,23:27:00,2017-04-27,23:27:00
1676,/dbw_joy/ackermann_cmd,2017-04-27 23:27:00,2017-04-27 23:27:00,1.37202e-05,2017-04-27,23:27:00,2017-04-27,23:27:00
1677,/trajectory_follow/ackermann_cmd,2017-04-27 23:27:00,2017-04-27 23:32:00,0.307292,2017-04-27,23:27:00,2017-04-27,23:32:00
1678,/dbw_joy/ackermann_cmd,2017-04-27 23:32:00,2017-04-27 23:34:00,0.0823552,2017-04-27,23:32:00,2017-04-27,23:34:00
1679,None,2017-04-27 23:34:00,2017-04-28 16:24:00,0.0,2017-04-27,23:34:00,2017-04-28,16:24:00
1680,/dbw_joy/ackermann_cmd,2017-04-28 16:24:00,2017-04-28 16:24:00,0.0,2017-04-28,16:24:00,2017-04-28,16:24:00
1681,/dbw_joy/ackermann_cmd,2017-04-28 16:58:00,2017-04-28 16:59:00,0.0158276,2017-04-28,16:58:00,2017-04-28,16:59:00
1682,/trajectory_follow/ackermann_cmd,2017-04-28 16:59:00,2017-04-28 17:01:00,0.185005,2017-04-28,16:59:00,2017-04-28,17:01:00
1683,/trajectory_follow/ackermann_cmd,2017-04-28 17:01:00,2017-04-28 17:02:00,0.047080199999999996,2017-04-28,17:01:00,2017-04-28,17:02:00
1684,/trajectory_follow/ackermann_cmd,2017-04-28 16:52:00,2017-04-28 16:58:00,0.46664799999999995,2017-04-28,16:52:00,2017-04-28,16:58:00
1685,/dbw_joy/ackermann_cmd,2017-04-28 17:02:00,2017-04-28 17:02:00,0.00649425,2017-04-28,17:02:00,2017-04-28,17:02:00
1686,/trajectory_follow/ackermann_cmd,2017-04-28 17:02:00,2017-04-28 17:07:00,0.40985200000000005,2017-04-28,17:02:00,2017-04-28,17:07:00
1687,/trajectory_follow/ackermann_cmd,2017-04-28 17:07:00,2017-04-28 17:08:00,0.0683398,2017-04-28,17:07:00,2017-04-28,17:08:00
1688,/dbw_joy/ackermann_cmd,2017-04-28 17:08:00,2017-04-28 17:08:00,0.00823824,2017-04-28,17:08:00,2017-04-28,17:08:00
1689,/trajectory_follow/ackermann_cmd,2017-04-28 17:08:00,2017-04-28 17:08:00,0.00953404,2017-04-28,17:08:00,2017-04-28,17:08:00
1690,/dbw_joy/ackermann_cmd,2017-04-28 17:08:00,2017-04-28 17:08:00,0.00937346,2017-04-28,17:08:00,2017-04-28,17:08:00
1691,None,2017-04-28 16:25:00,2017-04-28 16:25:00,0.0,2017-04-28,16:25:00,2017-04-28,16:25:00
1692,/dbw_joy/ackermann_cmd,2017-04-28 16:25:00,2017-04-28 16:26:00,0.0,2017-04-28,16:25:00,2017-04-28,16:26:00
1693,/trajectory_follow/ackermann_cmd,2017-04-28 16:26:00,2017-04-28 16:28:00,0.128638,2017-04-28,16:26:00,2017-04-28,16:28:00
1694,/dbw_joy/ackermann_cmd,2017-04-28 16:28:00,2017-04-28 16:28:00,0.0186753,2017-04-28,16:28:00,2017-04-28,16:28:00
1695,/trajectory_follow/ackermann_cmd,2017-04-28 16:28:00,2017-04-28 16:28:00,0.025711200000000003,2017-04-28,16:28:00,2017-04-28,16:28:00
1696,/dbw_joy/ackermann_cmd,2017-04-28 16:28:00,2017-04-28 16:28:00,0.0117684,2017-04-28,16:28:00,2017-04-28,16:28:00
1697,/trajectory_follow/ackermann_cmd,2017-04-28 16:28:00,2017-04-28 16:48:00,0.016506,2017-04-28,16:28:00,2017-04-28,16:48:00
1698,/trajectory_follow/ackermann_cmd,2017-04-28 16:48:00,2017-04-28 16:51:00,0.28564,2017-04-28,16:48:00,2017-04-28,16:51:00
1699,/dbw_joy/ackermann_cmd,2017-04-28 16:51:00,2017-04-28 16:51:00,0.0225053,2017-04-28,16:51:00,2017-04-28,16:51:00
